test_case_id,food_matrix,cheese_category,temperature,packaging,indicator,ingredient,true_shelf_life_days,prediction_days,error_days,abs_error_days,pct_error,ground_truth_type,validation_priority,paper_url
TC083,minas fresh cheese,soft,7,sealed_container,listeria_monocytogenes,nisin,28.0,12.649007797241213,-15.350992202758787,15.350992202758787,54.82497215270995,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/24031971/
TC085,minas fresh cheese,soft,7,sealed_container,listeria_monocytogenes,nisin,28.0,13.10252571105957,-14.89747428894043,14.89747428894043,53.20526531764439,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/24031971/
TC084,minas fresh cheese,soft,7,sealed_container,listeria_monocytogenes,nisin,28.0,13.10252571105957,-14.89747428894043,14.89747428894043,53.20526531764439,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/24031971/
TC097,soft white cheese,soft,4,sealed_container,molds,thyme essential oil,30.0,15.88701629638672,-14.11298370361328,14.11298370361328,47.043279012044266,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/29477526/
TC091,queso fresco,soft,7,map_30co2_70n2,listeria_monocytogenes,none,21.0,7.426196575164795,-13.573803424835205,13.573803424835205,64.63715916588193,PROXY_EVENT,C_SAFETY_PROXY,https://pubmed.ncbi.nlm.nih.gov/29960774/
TC092,queso fresco,soft,7,map_50co2_50n2,listeria_monocytogenes,none,21.0,8.614853858947754,-12.385146141052246,12.385146141052246,58.97688638596308,PROXY_EVENT,C_SAFETY_PROXY,https://pubmed.ncbi.nlm.nih.gov/29960774/
TC078,galotyri,soft,4,sealed_container,yeasts,natamycin,28.0,16.33580207824707,-11.66419792175293,11.66419792175293,41.657849720546174,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC082,galotyri,soft,4,sealed_container,yeasts,natamycin,28.0,16.45633888244629,-11.543661117553711,11.543661117553711,41.22736113412039,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC077,galotyri,soft,4,sealed_container,lactococcus_spp,natamycin,28.0,17.60529136657715,-10.394708633422852,10.394708633422852,37.123959405081614,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC076,galotyri,soft,4,sealed_container,lactobacillus_spp,natamycin,28.0,17.60529136657715,-10.394708633422852,10.394708633422852,37.123959405081614,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC080,galotyri,soft,4,sealed_container,lactobacillus_spp,natamycin,28.0,17.642562866210938,-10.357437133789062,10.357437133789062,36.99084690638951,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC081,galotyri,soft,4,sealed_container,lactococcus_spp,natamycin,28.0,17.642562866210938,-10.357437133789062,10.357437133789062,36.99084690638951,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC075,galotyri,soft,4,sealed_container,sensory_acceptability,natamycin,28.0,18.18137550354004,-9.818624496459961,9.818624496459961,35.066516058785574,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC079,galotyri,soft,4,sealed_container,sensory_acceptability,natamycin,28.0,18.30191421508789,-9.69808578491211,9.69808578491211,34.63602066040039,LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/24010596/
TC099,paneer,soft,7,sealed_container,sensory_acceptability,Cloves,21.0,12.293317794799805,-8.706682205200195,8.706682205200195,41.46039145333426,EXACT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/25829584/
TC086,ricotta,soft,7,sealed_container,listeria_monocytogenes,none,10.5,2.747426748275757,-7.752573251724243,7.752573251724243,73.83403096880231,RANGE_MIDPOINT,A_RANGE,https://pubmed.ncbi.nlm.nih.gov/9172439/
TC056,ricotta,soft,4,sealed_container,yeasts_molds,none,3.0,8.302414894104004,5.302414894104004,5.302414894104004,176.7471631368001,RANGE_MIDPOINT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/27800345/
TC060,ricotta,soft,4,map_30co2_70n2,sensory_acceptability,none,15.0,9.750123023986816,-5.249876976013184,5.249876976013184,34.99917984008789,EXACT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/27800345/
